DM values: ['9.999935', '10.000205', '9.999849', '10.000192']
Shift values: ['0.009124', '-0.004431', '-0.003421', '0.005836']

1it [00:00, ?it/s]
71it [00:00, 692.35it/s, bound:0 nc:  1 ncall:3.3e+02 eff:21.8% logz=-868434.35+/-0.16 dlogz:675245.979>0.1]
141it [00:00, 579.94it/s, bound:0 nc:  3 ncall:4.3e+02 eff:32.7% logz=-827486.90+/-0.16 dlogz:671254.101>0.1]
891it [00:10, 17.05it/s, bound:0 nc: 13 ncall:8.8e+03 eff:10.1% logz=-443393.17+/-0.20 dlogz:335497.071>0.1]
893it [00:10, 15.77it/s, bound:0 nc: 49 ncall:9.0e+03 eff:10.0% logz=-442346.59+/-0.20 dlogz:334352.297>0.1]
895it [00:11,  6.58it/s, bound:1 nc: 28 ncall:9.0e+03 eff:9.9% logz=-441851.41+/-0.20 dlogz:334111.032>0.1] 
916it [00:12, 13.35it/s, bound:2 nc: 28 ncall:9.6e+03 eff:9.5% logz=-427190.65+/-0.20 dlogz:319626.025>0.1]
939it [00:13, 18.12it/s, bound:3 nc: 34 ncall:1.0e+04 eff:9.0% logz=-415680.48+/-0.20 dlogz:307658.197>0.1]
964it [00:13, 23.91it/s, bound:4 nc: 20 ncall:1.1e+04 eff:8.7% logz=-401404.10+/-0.20 dlogz:293381.245>0.1]
986it [00:14, 23.53it/s, bound:5 nc: 20 ncall:1.1e+04 eff:8.6% logz=-387888.47+/-0.20 dlogz:279946.089>0.1]
1008it [00:15, 23.41it/s, bound:6 nc: 30 ncall:1.2e+04 eff:8.3% logz=-375586.42+/-0.20 dlogz:268807.078>0.1]
1030it [00:16, 21.62it/s, bound:7 nc: 28 ncall:1.3e+04 eff:8.1% logz=-364354.51+/-0.20 dlogz:256459.700>0.1]
1052it [00:17, 20.86it/s, bound:8 nc: 37 ncall:1.4e+04 eff:7.8% logz=-353174.79+/-0.20 dlogz:245946.918>0.1]
1077it [00:18, 23.62it/s, bound:9 nc: 33 ncall:1.4e+04 eff:7.5% logz=-345170.43+/-0.20 dlogz:237267.427>0.1]
1102it [00:19, 23.04it/s, bound:10 nc: 24 ncall:1.5e+04 eff:7.4% logz=-332698.47+/-0.21 dlogz:224654.161>0.1]
1124it [00:21, 19.59it/s, bound:12 nc: 36 ncall:1.6e+04 eff:7.1% logz=-318593.46+/-0.21 dlogz:212442.182>0.1]
1147it [00:22, 22.14it/s, bound:13 nc: 46 ncall:1.7e+04 eff:6.8% logz=-308968.55+/-0.21 dlogz:200757.639>0.1]
1172it [00:23, 19.35it/s, bound:14 nc: 21 ncall:1.7e+04 eff:6.7% logz=-300815.36+/-0.21 dlogz:192760.125>0.1]
1195it [00:25, 15.97it/s, bound:16 nc: 64 ncall:1.9e+04 eff:6.4% logz=-290671.18+/-0.21 dlogz:182966.656>0.1]
1217it [00:26, 17.71it/s, bound:18 nc: 64 ncall:2.0e+04 eff:6.1% logz=-281399.83+/-0.21 dlogz:174137.136>0.1]
1240it [00:28, 17.25it/s, bound:19 nc: 28 ncall:2.1e+04 eff:6.0% logz=-270053.91+/-0.21 dlogz:162805.870>0.1]
1263it [00:29, 18.71it/s, bound:21 nc: 43 ncall:2.2e+04 eff:5.8% logz=-263513.93+/-0.21 dlogz:156471.034>0.1]
1287it [00:30, 19.55it/s, bound:22 nc: 31 ncall:2.2e+04 eff:5.8% logz=-252219.37+/-0.21 dlogz:146438.628>0.1]
1311it [00:31, 20.58it/s, bound:23 nc: 34 ncall:2.3e+04 eff:5.7% logz=-244939.42+/-0.21 dlogz:139255.792>0.1]
1335it [00:32, 20.54it/s, bound:25 nc: 36 ncall:2.4e+04 eff:5.6% logz=-236644.84+/-0.21 dlogz:129632.181>0.1]
1356it [00:33, 18.90it/s, bound:26 nc: 36 ncall:2.5e+04 eff:5.5% logz=-230524.10+/-0.22 dlogz:123234.152>0.1]
1377it [00:34, 20.07it/s, bound:27 nc: 42 ncall:2.6e+04 eff:5.4% logz=-223129.03+/-0.22 dlogz:116263.972>0.1]
1399it [00:35, 21.27it/s, bound:28 nc: 27 ncall:2.6e+04 eff:5.4% logz=-213712.19+/-0.22 dlogz:106925.029>0.1]
1422it [00:36, 21.11it/s, bound:29 nc: 28 ncall:2.7e+04 eff:5.3% logz=-208724.23+/-0.22 dlogz:102600.299>0.1]
1445it [00:38, 16.04it/s, bound:31 nc: 35 ncall:2.8e+04 eff:5.2% logz=-203564.52+/-0.22 dlogz:96440.101>0.1] 
1467it [00:40, 14.97it/s, bound:33 nc: 70 ncall:2.9e+04 eff:5.0% logz=-197603.12+/-0.22 dlogz:90853.451>0.1]
1490it [00:42, 15.32it/s, bound:35 nc: 53 ncall:3.0e+04 eff:4.9% logz=-191458.21+/-0.22 dlogz:84775.229>0.1]
1514it [00:42, 17.77it/s, bound:37 nc: 45 ncall:3.1e+04 eff:4.8% logz=-184543.07+/-0.22 dlogz:77548.987>0.1]
1538it [00:43, 19.43it/s, bound:38 nc: 27 ncall:3.2e+04 eff:4.8% logz=-179364.71+/-0.22 dlogz:73482.645>0.1]
1562it [00:45, 19.93it/s, bound:39 nc: 34 ncall:3.3e+04 eff:4.8% logz=-172514.56+/-0.22 dlogz:65831.583>0.1]
1584it [00:45, 21.32it/s, bound:40 nc: 26 ncall:3.4e+04 eff:4.7% logz=-168782.25+/-0.22 dlogz:61703.624>0.1]
1606it [00:46, 21.48it/s, bound:41 nc: 31 ncall:3.4e+04 eff:4.7% logz=-164860.98+/-0.22 dlogz:60098.667>0.1]
1629it [00:47, 23.85it/s, bound:42 nc: 31 ncall:3.5e+04 eff:4.7% logz=-161464.41+/-0.23 dlogz:56710.372>0.1]
1652it [00:49, 19.63it/s, bound:43 nc: 23 ncall:3.5e+04 eff:4.7% logz=-157872.31+/-0.23 dlogz:52970.072>0.1]
1676it [00:51, 17.10it/s, bound:45 nc: 52 ncall:3.7e+04 eff:4.6% logz=-155101.52+/-0.23 dlogz:50253.505>0.1]
1698it [00:52, 16.34it/s, bound:47 nc: 47 ncall:3.8e+04 eff:4.5% logz=-151666.40+/-0.23 dlogz:46881.547>0.1]
1721it [00:54, 15.02it/s, bound:49 nc: 47 ncall:3.9e+04 eff:4.4% logz=-149386.79+/-0.23 dlogz:44621.747>0.1]
1745it [00:55, 15.15it/s, bound:51 nc: 57 ncall:4.0e+04 eff:4.3% logz=-146227.32+/-0.23 dlogz:41324.504>0.1]
1767it [00:56, 16.85it/s, bound:53 nc: 49 ncall:4.1e+04 eff:4.3% logz=-144339.01+/-0.23 dlogz:40674.309>0.1]
1789it [00:59, 13.99it/s, bound:54 nc: 30 ncall:4.2e+04 eff:4.3% logz=-142746.87+/-0.23 dlogz:39055.998>0.1]
1813it [00:59, 16.44it/s, bound:56 nc: 28 ncall:4.4e+04 eff:4.1% logz=-140211.30+/-0.23 dlogz:36496.799>0.1]
1834it [01:01, 16.46it/s, bound:57 nc: 28 ncall:4.4e+04 eff:4.1% logz=-138319.76+/-0.23 dlogz:34733.324>0.1]
1856it [01:03, 13.64it/s, bound:59 nc: 38 ncall:4.5e+04 eff:4.1% logz=-137121.06+/-0.23 dlogz:33277.907>0.1]
1879it [01:05, 14.11it/s, bound:61 nc: 71 ncall:4.7e+04 eff:4.0% logz=-135132.96+/-0.23 dlogz:31544.858>0.1]
1903it [01:06, 14.16it/s, bound:63 nc: 47 ncall:4.8e+04 eff:4.0% logz=-133798.81+/-0.23 dlogz:30083.945>0.1]
1927it [01:07, 16.03it/s, bound:65 nc: 53 ncall:4.9e+04 eff:3.9% logz=-131848.13+/-0.23 dlogz:28181.347>0.1]
